0.0,11.92,2,298,50,3,118,100,27
1.0,8.80,2,220,33,7,86,75,19
2.0,6.48,2,162,23,7,60,59,13
3.0,5.16,2,129,18,8,42,51,10
4.0,4.12,2,103,13,9,33,42,6
5.0,3.36,2,84,11,8,26,35,4
6.0,2.56,2,64,7,7,19,29,2
7.0,2.16,2,54,6,6,16,24,2
8.0,2.08,2,52,8,6,14,21,3
9.0,2.16,2,54,7,8,14,22,3
10.0,2.28,2,57,7,10,15,24,1
11.0,2.32,2,58,7,10,14,24,3
12.0,2.32,2,58,7,10,14,24,3
13.0,2.32,2,58,7,10,14,24,3
14.0,2.32,2,58,7,10,14,24,3
15.0,2.32,2,58,7,10,14,24,3
16.0,2.32,2,58,7,10,14,24,3
17.0,2.32,2,58,7,10,14,24,3
18.0,2.32,2,58,7,10,14,24,3
19.0,2.32,2,58,7,10,14,24,3
0.0,65.48,3,1637,290,0,453,453,441
1.0,53.08,3,1327,211,0,366,355,395
2.0,35.56,3,889,151,1,275,249,213
3.0,23.28,3,582,98,2,182,183,117
4.0,15.80,3,395,59,3,131,132,70
5.0,10.40,3,260,44,3,89,96,28
6.0,7.68,3,192,28,4,67,72,21
7.0,6.20,3,155,22,7,47,63,16
8.0,4.64,3,116,11,8,33,50,14
9.0,2.76,3,69,8,5,19,31,6
10.0,2.40,3,60,4,7,18,26,5
11.0,2.20,3,55,3,8,15,24,5
12.0,2.16,3,54,3,9,16,23,3
13.0,2.56,3,64,6,12,15,26,5
14.0,2.48,3,62,7,12,13,26,4
15.0,2.52,3,63,7,13,13,27,3
16.0,2.52,3,63,7,13,13,27,3
17.0,2.52,3,63,7,13,13,27,3
18.0,2.52,3,63,7,13,13,27,3
19.0,2.52,3,63,7,13,13,27,3
0.0,76.28,4,1907,465,0,477,476,489
1.0,76.28,4,1907,465,0,477,476,489
2.0,74.84,4,1871,429,0,477,476,489
3.0,70.88,4,1772,330,0,477,476,489
4.0,61.24,4,1531,254,0,403,396,478
5.0,48.84,4,1221,199,0,340,320,362
6.0,36.52,4,913,151,2,271,252,237
7.0,26.60,4,665,106,2,192,199,166
8.0,19.32,4,483,76,3,143,146,115
9.0,13.56,4,339,47,3,105,116,68
10.0,9.76,4,244,37,4,74,93,36
11.0,7.40,4,185,21,5,58,75,26
12.0,5.84,4,146,17,5,44,60,20
13.0,4.28,4,107,8,5,31,46,17
14.0,3.44,4,86,6,6,23,35,16
15.0,3.20,4,80,7,8,22,28,15
16.0,3.00,4,75,6,7,21,26,15
17.0,3.12,4,78,6,10,21,28,13
18.0,3.20,4,80,6,12,22,29,11
19.0,3.48,4,87,6,13,24,33,11
