0.01,2.32,2,58,4,7,17,27,3
0.02,2.28,2,57,7,9,12,26,3
0.03,2.32,2,58,7,9,14,25,3
0.04,2.16,2,54,6,7,15,23,3
0.05,2.00,2,50,6,6,15,21,2
0.06,2.20,2,55,9,6,14,24,2
0.07,2.28,2,57,9,6,15,25,2
0.08,2.32,2,58,9,5,16,26,2
0.09,2.44,2,61,9,8,18,24,2
0.10,2.52,2,63,10,8,18,25,2
0.11,2.68,2,67,11,8,19,27,2
0.12,2.72,2,68,11,8,19,27,3
0.13,2.88,2,72,12,8,20,28,4
0.14,3.00,2,75,12,8,22,28,5
0.15,3.32,2,83,13,8,24,33,5
0.16,3.48,2,87,15,8,23,35,6
0.17,3.68,2,92,16,8,26,36,6
0.18,3.92,2,98,16,8,30,38,6
0.19,4.12,2,103,18,9,31,38,7
0.20,4.24,2,106,18,9,33,39,7
0.21,4.36,2,109,20,9,33,40,7
0.22,4.68,2,117,22,9,34,44,8
0.23,4.80,2,120,23,8,37,44,8
0.24,4.84,2,121,23,8,37,45,8
0.25,4.96,2,124,23,8,38,46,9
0.26,5.16,2,129,24,7,40,48,10
0.27,5.24,2,131,24,7,41,49,10
0.28,5.32,2,133,25,7,41,50,10
0.29,5.56,2,139,28,7,43,50,11
0.30,5.68,2,142,29,7,45,50,11
0.31,5.84,2,146,29,7,48,51,11
0.32,6.00,2,150,29,7,49,53,12
0.33,6.20,2,155,29,7,51,56,12
0.34,6.32,2,158,29,7,54,56,12
0.35,6.52,2,163,32,7,55,57,12
0.36,6.76,2,169,34,7,56,58,14
0.37,6.92,2,173,34,7,60,58,14
0.38,7.12,2,178,36,7,61,60,14
0.39,7.24,2,181,37,7,61,62,14
0.40,7.60,2,190,38,7,67,63,15
0.41,7.64,2,191,38,7,67,63,16
0.42,7.68,2,192,39,7,67,63,16
0.43,7.96,2,199,40,7,70,66,16
0.44,8.00,2,200,40,7,70,67,16
0.45,8.36,2,209,43,7,74,69,16
0.46,8.52,2,213,43,7,77,70,16
0.47,8.88,2,222,47,7,77,73,18
0.48,9.16,2,229,50,7,80,73,19
