0.01,3.12,78,8,8,26,33,3
0.02,3.12,78,12,7,26,30,3
0.03,3.40,85,16,7,28,32,2
0.04,3.20,80,13,6,27,32,2
0.05,3.44,86,11,8,30,33,4
0.06,3.52,88,13,8,30,34,3
0.07,3.56,89,12,7,32,33,5
0.08,3.56,89,13,7,32,32,5
0.09,3.64,91,13,6,34,33,5
0.10,3.76,94,12,7,35,35,5
0.11,3.88,97,13,8,35,36,5
0.12,4.12,103,13,9,40,36,5
0.13,4.28,107,14,10,39,39,5
0.14,4.40,110,15,11,39,40,5
0.15,4.52,113,16,11,39,40,7
0.16,4.48,112,15,9,41,41,6
0.17,4.48,112,15,9,41,41,6
0.18,4.56,114,16,9,41,42,6
0.19,4.60,115,16,9,42,42,6
0.20,4.76,119,16,9,44,44,6
0.21,4.80,120,17,9,44,43,7
0.22,5.00,125,18,10,44,45,8
0.23,5.00,125,18,10,44,45,8
0.24,5.00,125,18,10,44,45,8
0.25,5.04,126,17,10,45,45,9
0.26,5.08,127,17,10,46,45,9
0.27,5.16,129,18,10,47,45,9
0.28,5.28,132,18,10,49,46,9
0.29,5.20,130,18,8,49,46,9
0.30,5.44,136,18,8,51,49,10
0.31,5.48,137,18,8,52,49,10
0.32,5.52,138,18,8,53,49,10
0.33,5.64,141,18,8,56,49,10
0.34,5.68,142,18,8,57,49,10
0.35,5.68,142,18,8,57,49,10
0.36,5.68,142,18,8,56,50,10
0.37,5.72,143,18,8,57,50,10
0.38,5.84,146,19,8,58,50,11
0.39,6.00,150,19,8,59,52,12
0.40,6.00,150,19,8,59,52,12
0.41,6.08,152,20,8,60,52,12
0.42,6.12,153,21,8,59,53,12
0.43,6.28,157,21,8,60,56,12
0.44,6.20,155,21,8,59,55,12
0.45,6.56,164,23,8,64,56,13
0.46,6.60,165,24,7,65,56,13
0.47,6.68,167,24,7,66,56,14
0.48,6.80,170,24,7,69,56,14
0.49,6.92,173,24,7,72,56,14
0.50,7.00,175,24,7,72,58,14
0.51,7.16,179,24,7,75,58,15
0.52,7.16,179,24,7,75,58,15
0.53,7.20,180,24,7,77,57,15
0.54,7.32,183,25,7,78,58,15
0.55,7.32,183,25,7,79,57,15
0.56,7.52,188,27,7,81,58,15
0.57,7.56,189,27,7,80,60,15
0.58,7.76,194,28,7,82,62,15
0.59,7.92,198,30,7,84,62,15
0.60,7.92,198,29,7,84,62,16
0.61,8.16,204,30,7,88,62,17
0.62,8.32,208,30,7,92,61,18
0.63,8.36,209,30,7,90,62,20
0.64,8.60,215,31,7,92,65,20
0.65,8.68,217,31,7,94,65,20
0.66,8.88,222,33,7,97,65,20
0.67,9.12,228,33,7,100,67,21
0.68,9.16,229,34,7,100,67,21
0.69,9.28,232,37,7,100,67,21
0.70,9.56,239,41,7,101,67,23
0.71,9.60,240,41,7,101,68,23
0.72,9.76,244,44,7,102,68,23
0.73,9.80,245,44,6,104,68,23
0.74,9.92,248,45,6,106,68,23
0.75,10.24,256,49,6,108,69,24
0.76,10.32,258,49,6,109,69,25
0.77,10.48,262,49,6,113,69,25
0.78,10.68,267,50,6,115,71,25
0.79,10.76,269,50,6,116,71,26
0.80,10.92,273,50,6,120,71,26
0.81,11.08,277,50,6,123,72,26
0.82,11.12,278,50,6,122,74,26
0.83,11.24,281,51,6,123,74,27
0.84,11.36,284,53,5,124,75,27
0.85,11.64,291,54,5,127,78,27
0.86,11.64,291,54,5,127,79,26
0.87,11.80,295,54,5,130,79,27
0.88,12.16,304,55,5,133,82,29
0.89,12.40,310,55,5,135,85,30
0.90,12.52,313,55,5,135,88,30
0.91,12.76,319,56,5,137,90,31
0.92,12.96,324,56,4,139,92,33
0.93,13.20,330,59,4,141,92,34
0.94,13.52,338,59,4,146,96,33
0.95,13.80,345,59,4,149,98,35
0.96,14.40,360,64,4,157,101,34
0.97,15.08,377,67,4,162,106,38
0.98,15.72,393,71,4,168,110,40
0.99,16.80,420,76,3,173,122,46
1.00,80.00,2000,500,500,500,500,0
